uid,nickname,saved_at
4615997717671844186,랜다초창기유저 18,2025-08-13 23:51:40
4627593789009748340,앙공쥬귀환띠/18/x2,2025-08-13 23:51:40
4633625064240963078,그대의입술에치얼스/12,2025-08-13 23:51:40
4668400507252673493,주일아령/15,2025-08-13 23:51:40
4679421683801782537,초코에몽/13/2,2025-08-13 23:51:40
4685369061804893963,쌈닭삼춘이 18 x2,2025-08-13 23:51:40
4691520910284410326,ᴺᵃᵐᵉᵈ럭키²³,2025-08-13 23:51:40
4694128933806808636,이밤아빠 /21,2025-08-13 23:51:40
4694737865159786215,갓헤옹/18,2025-08-13 23:51:40
4719437972059041441,드갈까/9렙,2025-08-13 23:51:40
4722583386774586573,PCACRAZY/1/1배속/배치숙지,2025-08-13 23:51:40
4729960530954053238,ᴱᵛᵉʳ김도둑²² /2배,2025-08-13 23:51:40
4739923315608612539,ダーツ/10,2025-08-13 23:51:40
4741423727014138499,초록넙치/15/x,2025-08-13 23:51:40
4752031397612286166,탱글탱글퍼리즈너/10/×1,2025-08-13 23:51:40
4769254751759616057,서폿왔어요/12/배속o,2025-08-13 23:51:40
4775364807877286780,애기공듀 13 x,2025-08-13 23:51:40
4784011642038584050,큰푸/14/x1,2025-08-13 23:51:40
4786280044372218956,흰수염/22/상배,2025-08-13 23:51:40
4788893389782527180,버스좀탈게여/11,2025-08-13 23:51:40
4792854184478870504,로이체 16,2025-08-13 23:51:40
4800384268621235429,alurt/13/2배,2025-08-13 23:51:40
4800391695364709808,해운대미포/14,2025-08-13 23:51:40
4804145069861597031,옥로하/14렙,2025-08-13 23:51:40
4807054867033206290,집가자아/14/배속x,2025-08-13 23:51:40
4808839052750754410,천사쫑호/19/x2,2025-08-13 23:51:40
4811550625431348979,Noʌɐ⁴ LOVE/23,2025-08-13 23:51:40
4814103467252442605,🎖️ 07gaming/20,2025-08-13 23:51:40
4825073333241373917,하이베로/17/배속o,2025-08-13 23:51:40
4828764074268167902,Ebbeum/18/배속x,2025-08-13 23:51:40
4845108076768682919,랜다보다 꿀잼ㅋ 15 X,2025-08-13 23:51:40
4862610494678284397,운이죻아/14/x2,2025-08-13 23:51:40
4869805877450686030,고양이의절대자레오/17/,2025-08-13 23:51:40
4883965579399033716,🎖️용이²³,2025-08-13 23:51:40
4919919061906001917,링링딩딩동동,2025-08-13 23:51:40
4937284103874298923,개똥소똥말똥새똥이/15,2025-08-13 23:51:40
4938739545542443215,쿠다사이/14레벨,2025-08-13 23:51:40
4939591522681225008,DLOJ(5)배속❌,2025-08-13 23:51:40
4985490878507754901,운빨그z겜/11,2025-08-13 23:51:40
4987593634932925452,주니파덜/21,2025-08-13 23:51:40
5009060295653290873,ᴺᵃᵐᵉᵈ칼리²³,2025-08-13 23:51:40
5010454312254823682,무뎅/17/배속ㅇ,2025-08-13 23:51:40
5011782327272460819,준배짱 19 X,2025-08-13 23:51:40
5039436773268369274,은평구똥개감자/18,2025-08-13 23:51:40
5040100177963761286,럭키라고말해/11,2025-08-13 23:51:40
5043901029401592817,Vex/16배속,2025-08-13 23:51:40
5044499172619117275,🏴‍☠️쾅뿡𝕍17⭕️³,2025-08-13 23:51:40
5060146893587496800,깝무 / 20,2025-08-13 23:51:40
5062261934824851415,그 녀 / 16,2025-08-13 23:51:40
5066955515976326604,𝑵𝒘1_onyx/12,2025-08-13 23:51:40
5072621971046244432,MC환도/18/배속❌️,2025-08-13 23:51:40
5073781087268138814,음벰바/8,2025-08-13 23:51:40
5076791033270693548,Ilove0313/10/x1,2025-08-13 23:51:40
5077581708862258643,한재범동헌/10,2025-08-13 23:51:40
5079275520367213893,✨묘화랑/20/2배속,2025-08-13 23:51:40
5094834118762871907,외눈박이마이크/14/1,2025-08-13 23:51:40
5111102429838458333,🎇깡후니/21/🚀,2025-08-13 23:51:40
5138619788877661837,뭉먕5/3레벨/1배속,2025-08-13 23:51:40
5149011795524584579,꼬마아들/14,2025-08-13 23:51:40
5151994245216970715,데헷0000/14/2배,2025-08-13 23:51:40
5157537944236454759,와트전공.19.❌,2025-08-13 23:51:40
5179674739603471654,리짜이밍2/12렙,2025-08-13 23:51:40
5191076988911627119,곧츄조타 / 10,2025-08-13 23:51:40
5214296642251971082,아니망했다/12/x1,2025-08-13 23:51:40
5223712334196069347,데헷0000/11,2025-08-13 23:51:40
5228811085877164210,김지민사랑한다/13,2025-08-13 23:51:40
5249552359564048963,늑대혁이 /18/ 2배o,2025-08-13 23:51:40
5254896463314157961,oㅏoㅏㅇㅏ/13/❌,2025-08-13 23:51:40
5258554370796367490,야굥/20금머76/2배0,2025-08-13 23:51:40
5269070934910686530,MY파자/17,2025-08-13 23:51:40
5275289929082879462,우자뿡뿡/19/x2,2025-08-13 23:51:40
5282154787173475391,형향/15/x2,2025-08-13 23:51:40
5286087366191620959,미국응디523/11,2025-08-13 23:51:40
5289965375650882296,jacegon/14,2025-08-13 23:51:40
5295708288510950773,chxn/17 배속 O,2025-08-13 23:51:40
5301650010181689987,월령⁹Zer0/17,2025-08-13 23:51:40
5303027080471163172,윤갓/19,2025-08-13 23:51:40
5305916015508916311,SHINDO/12,2025-08-13 23:51:40
5311498544342245083,곰혜야/8/×2,2025-08-13 23:51:40
5316460752571392766,와일노이게임/17/배속,2025-08-13 23:51:40
5318574878768192395,누런곰팡이/10,2025-08-13 23:51:40
5329440891711029938,아리치가토/18/배속x,2025-08-13 23:51:40
5345064789631795155,ᴺᵃᵐᵉᵈ일편²⁴,2025-08-13 23:51:40
5347665731500468772,엄준식쌈뽕하내/13,2025-08-13 23:51:40
5354014331160376611,Roses/16,2025-08-13 23:51:40
5362973733674230404,ᶠᴵᴳᴴᵀ텐구/18/x1⁶⁷⁶,2025-08-13 23:51:40
5370753704092200756,도맘입니다/13,2025-08-13 23:51:40
5371093158164639765,멋쩍은 튜브,2025-08-13 23:51:40
5371445776533153294,혐질망겜/14,2025-08-13 23:51:40
5383261071584730593,따잇현/13,2025-08-13 23:51:40
5391865438420322340,현규킹/16/2,2025-08-13 23:51:40
5392103236582284227,🎖ᴇᴍᴏ비비 / 20 / ×2,2025-08-13 23:51:40
5408227758359474407,다변수벡터함수정칙성/14,2025-08-13 23:51:40
5410462999869134933,기여운서하/17/2배,2025-08-13 23:51:40
5411491751857541635,민하앙 / 19,2025-08-13 23:51:40
5412338208694709414,전똥/15,2025-08-13 23:51:40
5415354234817950025,차든우/5,2025-08-13 23:51:40
5421648562352079939,이유동/15/X,2025-08-13 23:51:40
5427149407704429817,보안관을좋아하는사람/12,2025-08-13 23:51:40
5452107123556696748,로켓츄만뽑아염/9/1,2025-08-13 23:51:40
5463072818599434166,트루드/16,2025-08-13 23:51:40
5465427383293678688,도르맘/15,2025-08-13 23:51:40
5477043834914267780,engarde11/20,2025-08-13 23:51:40
5488461755207187904,이거왜케많이바뀜/6,2025-08-13 23:51:40
5508793529476572186,킹다x/18,2025-08-13 23:51:40
5511688582387940009,레이클럽/15/1,2025-08-13 23:51:40
5512368798516290031,ㅔㅣ릿/11/×,2025-08-13 23:51:40
5523969279565742854,헌터팡팡이 /10/2,2025-08-13 23:51:40
5527872860713683596,운딩/21,2025-08-13 23:51:40
5534517389021460661,닉리앙ㅇ/13,2025-08-13 23:51:40
5541483917187854970,무전취식/10,2025-08-13 23:51:40
5572759697400045792,광탈아잉/15,2025-08-13 23:51:40
5574411887142537351,🎖️정민ㅋ /20 / x2,2025-08-13 23:51:40
5579522724576230849,포카모카/17/1/배치숙지,2025-08-13 23:51:40
5587709309211491613,운빨헤일리 15렙,2025-08-13 23:51:40
5609510024962061060,이지러지는달/15,2025-08-13 23:51:40
5617362526040923817,ᴺᵃᵐᵉᵈ곰²²,2025-08-13 23:51:40
5623549459162498721,은빛주사위/17렙,2025-08-13 23:51:40
5629767531248492299,jonmnggam/24/12렙,2025-08-13 23:51:40
5634150301320759465,크크크캬캬캬/12,2025-08-13 23:51:40
5634160442454567790,𝙂𝙈솟툇촛28462세/8렙/배속×,2025-08-13 23:51:40
5636199916573358719,남잉ㅋ/11/2,2025-08-13 23:51:40
5638237420614036395,ºᑭᗩᑭᗩº도도 / 22 / X,2025-08-13 23:51:40
5660527039154479554,요를레이이/12,2025-08-13 23:51:40
5665688639811736948,타노스반갈죽/15/2x,2025-08-13 23:51:40
5671806004469584102,띵호와/14,2025-08-13 23:51:40
5675875740948633512,키티리보 / 15 / 2배,2025-08-13 23:51:40
5690955792692582205,포티/19,2025-08-13 23:51:40
5702927839290453684,임뿡뿡,2025-08-13 23:51:40
5706215864313369810,수정짱/17/2배,2025-08-13 23:51:40
5729382533422037015,無유저/16/속(x),2025-08-13 23:51:40
5730667272134134921,딜러9/12/2배속보유,2025-08-13 23:51:40
5735018473477080029,노태우의아들노무현/4랩,2025-08-13 23:51:40
5739349066480561594,봉구쯔밥버거/10/×2,2025-08-13 23:51:40
5741528163730181234,성도르/13,2025-08-13 23:51:40
5744128083146581911,ejejsj/13,2025-08-13 23:51:40
5752700647609912013,잔화타도/3/1,2025-08-13 23:51:40
5754280970613549477,ᴺᵃᵐᵉᵈY²³,2025-08-13 23:51:40
5761259219543843590,범단/19/2배/676,2025-08-13 23:51:40
5787302002265366100,🎖️기인이사¹⁸,2025-08-13 23:51:40
5794556570422411250,월루지민 / 18,2025-08-13 23:51:40
5799414211279704186,운빨루카스파더/16/1X,2025-08-13 23:51:40
5830044723200926950,피스메이커 프로도,2025-08-13 23:51:40
5833023757866345973,순야/16,2025-08-13 23:51:40
5835481480184864046,놀랜가슴진정이안된다 / 15,2025-08-13 23:51:40
5839537582697475587,솛댉촔/7,2025-08-13 23:51:40
5840975206253652669,ˢᵖⁱⁿ실뚜/20,2025-08-13 23:51:40
5848058322857111850,주은뷰디/10,2025-08-13 23:51:40
5848375763786798212,뚜기배불/14,2025-08-13 23:51:40
5849860212140047665,아들따라입문/14/2배,2025-08-13 23:51:40
5853782703336214812,스완이드앙/16/2배o,2025-08-13 23:51:40
5857811308857996373,백호²⁴ ⏩️,2025-08-13 23:51:40
5870667704315461687,마이뚜/14,2025-08-13 23:51:40
5889319881500312636,또익이 / 13,2025-08-13 23:51:40
5889426317519127948,Chaedachiz/15/x2,2025-08-13 23:51:40
5889515562553158213,코기라/16배속x,2025-08-13 23:51:40
5890721154196007775,報導렙개구리/8/X,2025-08-13 23:51:40
5891438668311016227,ᴬᴵᴿᴵᴷᴬᴺᴺᴬ/13렙,2025-08-13 23:51:40
5892801858462088451,이현건짱/15,2025-08-13 23:51:40
5895321629316850673,엉 진/24/ 2배,2025-08-13 23:51:40
5915086568389179486,다계약한다/17/x2,2025-08-13 23:51:40
5933866094728291251,GD11/12,2025-08-13 23:51:40
5952370845189607080,할거없자/15/2배,2025-08-13 23:51:40
5955240537274079733,오픈채팅봇,2025-08-13 23:51:40
5961343541918899032,nyaaaa 14 2x,2025-08-13 23:51:40
5981303682242849844,비누s/18/x2,2025-08-13 23:51:40
5984171822798678178,ˢᵖⁱⁿ대성/23/2기,2025-08-13 23:51:40
5986838642222558483,금융법인/16,2025-08-13 23:51:40
5988910414866992433,에버Green/14/2배,2025-08-13 23:51:40
5996924466826702011,간지휘트니스/16,2025-08-13 23:51:40
6003197165422548956,프랑코꼬렐리/12,2025-08-13 23:51:40
6007477404570406090,pǐñ/11,2025-08-13 23:51:40
6026854086276927786,가르릉거르릉/16/x2,2025-08-13 23:51:40
6035743013831320851,하램/14/434,2025-08-13 23:51:40
6039794075770574780,아니제발요/13,2025-08-13 23:51:40
6046830381501128534,ND운빨겜/14,2025-08-13 23:51:40
6060640836264396480,뇌절노인/17,2025-08-13 23:51:40
6062815461826883228,ᴺᵃᵐᵉᵈ은우ఌ끼리²³,2025-08-13 23:51:40
6074570135528548463,나는호두아빠 16⏩️,2025-08-13 23:51:40
6077333669215750892,전깡이/17/2배,2025-08-13 23:51:40
6078059569731150417,다크초코티/15,2025-08-13 23:51:40
6092001359991980631,오징엉덩/13/❌,2025-08-13 23:51:40
6094121847280343414,누너너마/6렙/배속x,2025-08-13 23:51:40
6095020773350676014,다맥/15/x2,2025-08-13 23:51:40
6099512268726399056,WVWWV/12,2025-08-13 23:51:40
6113252636886737281,나는윤주호돼지/13,2025-08-13 23:51:40
6131736689109177515,luckmac/10/1배,2025-08-13 23:51:40
6132030348808274892,유현이오빠/14,2025-08-13 23:51:40
6136133093186315291,ㄱㄴㄷ슥/14,2025-08-13 23:51:40
6141463054381037217,ladodgers/17/배속,2025-08-13 23:51:40
6147790984361509361,케이엠 16 x2,2025-08-13 23:51:40
6154353706861425023,ANNUUCEH/14/X,2025-08-13 23:51:40
6181413977939045271,0나는도비0 / 10,2025-08-13 23:51:40
6205493369523517689,처옴입니다/2,2025-08-13 23:51:40
6215284004658463553,user_01AF4/18렙/2배x,2025-08-13 23:51:40
6222211235023888657,우히히히힣ㅎ/15/×,2025-08-13 23:51:40
6225301504581032298,OST안/19/2배0,2025-08-13 23:51:40
6226224139442565316,프라임겅지가돌아온다 12렙,2025-08-13 23:51:40
6255768188934862787,신화/18/x2,2025-08-13 23:51:40
6271809912936385954,궁대이시티/10/하드73,2025-08-13 23:51:40
6288741533865807455,kk2592011/7/배속x,2025-08-13 23:51:40
6296739594122045451,낚게이/17⁵⁵⁵,2025-08-13 23:51:40
